,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,LAR,Jared Goff\GoffJa00,QB,21,2019,0,2,3,41,41,54,1166,1869,14219,87,42,112,215,6,0,0,0,,,,California,College Stats
1,2,PHI,Carson Wentz\WentCa00,QB,23,2019,0,1,4,42,42,56,1311,2055,14191,97,35,206,785,3,2,11,0,,,,North Dakota St.,College Stats
1,3,SDG,Joey Bosa\BosaJo00,DE,21,2019,0,2,3,32,32,51,0,0,0,0,0,0,0,0,0,0,0,148,,40.0,Ohio St.,College Stats
1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2019,1,3,4,49,49,56,0,0,0,0,0,1169,5405,40,189,1619,8,,,,Ohio St.,College Stats
1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2019,1,3,3,37,32,60,0,0,0,0,0,0,0,0,0,0,0,213,10,,Florida St.,College Stats
1,6,BAL,Ronnie Stanley\StanRo00,T,22,2019,1,1,4,39,39,56,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2019,0,1,4,37,37,63,0,0,0,0,0,0,0,0,0,0,0,166,,28.5,Oregon,College Stats
1,8,TEN,Jack Conklin\ConkJa00,T,22,2019,1,0,4,34,34,57,0,0,0,0,0,0,0,0,0,0,0,1,,,Michigan St.,College Stats
1,9,CHI,Leonard Floyd\FloyLe00,OLB,23,2019,0,0,4,27,27,54,0,0,0,0,0,0,0,0,0,0,0,108,1,18.5,Georgia,College Stats
1,10,NYG,Eli Apple\ApplEl00,CB,21,2019,0,0,2,16,8,55,0,0,0,0,0,0,0,0,0,0,0,197,3,,Ohio St.,College Stats
1,11,TAM,Vernon Hargreaves\HargVe00,CB,21,2019,0,0,1,13,12,41,0,0,0,0,0,0,0,0,0,0,0,163,2,,Florida,College Stats
1,12,NOR,Sheldon Rankins\RankSh00,DT,22,2019,0,0,2,15,15,51,0,0,0,0,0,0,0,0,0,0,0,64,1,16.0,Louisville,College Stats
1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2019,0,1,4,28,17,58,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats
1,14,OAK,Karl Joseph\JoseKa00,S,22,2019,0,0,4,14,14,49,0,0,0,0,0,0,0,0,0,0,0,174,4,3.0,West Virginia,College Stats
1,15,CLE,Corey Coleman\ColeCo00,WR,22,2018,0,0,2,6,5,27,0,0,0,0,0,3,15,0,61,789,5,,,,Baylor,College Stats
1,16,DET,Taylor Decker\DeckTa00,T,23,2019,0,0,4,28,28,55,0,0,0,0,0,0,0,0,1,11,1,,,,Ohio St.,College Stats
1,17,ATL,Keanu Neal\NealKe01,S,21,2019,0,1,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,167,1,,Florida,College Stats
1,18,IND,Ryan Kelly\KellRy00,C,23,2019,0,1,3,25,25,51,0,0,0,0,0,0,0,0,1,-4,0,,,,Alabama,College Stats
1,19,BUF,Shaq Lawson\LawsSh00,DE,22,2019,0,0,1,11,11,50,0,0,0,0,0,0,0,0,0,0,0,63,,16.5,Clemson,College Stats
1,20,NYJ,Darron Lee\LeexDa00,OLB,21,2019,0,0,3,20,18,56,0,0,0,0,0,0,0,0,0,0,0,177,3,4.0,Ohio St.,College Stats
1,21,HOU,Will Fuller\FullWi01,WR,22,2019,0,0,3,18,18,42,0,0,0,0,0,3,6,0,156,2231,16,,,,Notre Dame,College Stats
1,22,WAS,Josh Doctson\DoctJo00,WR,23,2019,0,0,2,9,9,34,0,0,0,0,0,1,-14,0,81,1100,8,,,,TCU,College Stats
1,23,MIN,Laquon Treadwell\TreaLa00,WR,21,2019,0,0,0,6,6,53,0,0,0,0,0,0,0,0,65,701,2,1,,,Mississippi,College Stats
